B (G),"F=4, mF=-4","F=4, mF=-3","F=4, mF=-2","F=4, mF=-1","F=4, mF=0","F=4, mF=1","F=4, mF=2","F=4, mF=3","F=4, mF=4","F=3, mF=-3","F=3, mF=-2","F=3, mF=-1","F=3, mF=0","F=3, mF=1","F=3, mF=2","F=3, mF=3"
0.0,9.192631769999998,9.192631769999998,9.192631769999998,9.192631769999998,9.192631769999998,9.192631769999998,9.192631769999998,9.192631769999998,9.192631769999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0050025012506253125,9.19262477003176,9.19262652002616,9.19262827001989,9.192630020012952,9.192631770005347,9.192633519997072,9.192635269988129,9.192637019978518,9.192638769968239,-5.249978519142605e-06,-3.499988130936189e-06,-1.7499970730279627e-06,-5.347635481583202e-12,1.7499870463500317e-06,3.4999801078198e-06,5.249973838991378e-06
0.010005002501250625,9.19261777006352,9.192621270057,9.192624770047802,9.19262827003593,9.19263177002139,9.192635270004171,9.19263876998428,9.192642269961716,9.192645769936478,-1.049996171732766e-05,-6.999984281662433e-06,-3.5000041727338556e-06,-2.1389433148501256e-11,3.499964066022133e-06,6.999952196958322e-06,1.0499943000049084e-05
0.015007503751875938,9.192610770095282,9.192616020092517,9.192621270083736,9.19262652006894,9.192631770048123,9.192637020021298,9.192642269988452,9.192647519949592,9.192652769904715,-1.5749949593446384e-05,-1.0499988453287512e-05,-5.250021298008902e-06,-4.812650177858571e-11,5.249931060125081e-06,1.0499916262980453e-05,1.5749907480955566e-05
0.02001000500250125,9.192603770127043,9.192610770132715,9.192617770127692,9.192624770111971,9.192631770085557,9.192638770048447,9.192645770000645,9.192652769942146,9.192659769872956,-2.099994214860756e-05,-1.4000000645811424e-05,-7.000048448853101e-06,-8.555662381617346e-11,6.999888027550098e-06,1.3999872309212533e-05,2.0999867285037153e-05
0.025012506253126565,9.192596770158804,9.192605520177592,9.192614270179664,9.19262302016503,9.192631770133682,9.192640520085627,9.192649270020858,9.192658019939381,9.192666769841194,-2.624993938281118e-05,-1.750002085923417e-05,-8.75008562637523e-06,-1.3368312559475918e-10,8.749834969405964e-06,1.7499820334545776e-05,2.6249822407858735e-05
0.030015007503751877,9.192589770190565,9.192600270227146,9.19261077023966,9.192621270228113,9.192631770192502,9.19264227013283,9.192652770049094,9.192663269941294,9.192673769809433,-3.149994129605726e-05,-2.1000049094664527e-05,-1.0500132830575292e-05,-1.925048983365113e-10,1.0499771884583898e-05,2.099976033787141e-05,3.149977285385542e-05
0.03501750875437719,9.192582770222328,9.192595020281379,9.19260727030768,9.192619520301225,9.192631770262018,9.192644020190059,9.192656270085347,9.192668519947885,9.192680769777672,-3.6749947887237e-05,-2.4500085349884935e-05,-1.2250190061453283e-05,-2.6201972448576674e-10,1.22496987730839e-05,2.4499692320298208e-05,3.67497186185921e-05
0.0400200100050025,9.19257577025409,9.192589770340295,9.192603770383716,9.192617770384363,9.192631770342228,9.192645770257316,9.192659770129625,9.192673769959155,9.19268776974591,-4.1999959157459195e-05,-2.800012962600418e-05,-1.4000257317900426e-05,-3.4222982159818857e-10,1.3999615636014751e-05,2.7999616281826174e-05,4.199965970539512e-05
0.04502251125562782,9.19256877028585,9.192584520403885,9.192600270467777,9.192616020477528,9.192631770433135,9.1926475203346,9.19266327018192,9.192679019975108,9.19269476971415,-4.7249975107832615e-05,-3.150018192302226e-05,-1.5750334599916726e-05,-4.331340808959452e-10,1.574952247226767e-05,3.149953222134653e-05,4.724959611315568e-05
0.05002501250625313,9.19256177031761,9.192579270472157,9.192596770559858,9.192614270580718,9.192631770534733,9.192649270421905,9.19266677024224,9.192684269995734,9.192701769682389,-5.249999573613971e-05,-3.500024224204795e-05,-1.7500421907502175e-05,-5.347336111568683e-10,1.7499419282951437e-05,3.4999440141076826e-05,5.249952784298257e-05
0.055027513756878435,9.192554770349373,9.192574020545106,9.19259327065996,9.192612520693933,9.192631770647026,9.192651020519243,9.192670270310579,9.192689520021041,9.192708769650626,-5.775002104127169e-05,-3.8500310580863694e-05,-1.925051924398311e-05,-6.470273036031262e-10,1.9249306065848492e-05,3.849934003879951e-05,5.7749454892658235e-05
0.060030015007503754,9.192547770381132,9.192568770622737,9.192589770768084,9.192610770817177,9.192631770770015,9.192652770626601,9.19267377038694,9.192694770051027,9.192715769618866,-6.300005102766369e-05,-4.200038694057828e-05,-2.1000626603815647e-05,-7.700162670125506e-10,2.0999182823176398e-05,4.1999231915623365e-05,6.299937726329145e-05
0.06503251625812907,9.192540770412894,9.192563520705045,9.192586270884227,9.192609020950446,9.1926317709037,9.192654520743988,9.192677270471322,9.192700020085692,9.192722769587105,-6.825008569198934e-05,-4.550047132119169e-05,-2.2750743991434887e-05,-9.036993926073096e-10,2.2749049553826376e-05,4.549911577154839e-05,6.824929495377344e-05
0.07003501750875438,9.192533770444655,9.192558270792032,9.192582771008393,9.19260727109374,9.192631771048076,9.192656270871403,9.19268077056372,9.192705270125032,9.192729769555344,-7.350012503424867e-05,-4.900056372270393e-05,-2.4500871403514507e-05,-1.0480766803874037e-09,2.4498906257798418e-05,4.8998991605465797e-05,7.349920796632176e-05
0.07503751875937968,9.192526770476416,9.1925530208837,9.192579271140579,9.192605521247062,9.19263177120315,9.192658021008842,9.192684270664143,9.192710520169056,9.192736769523583,-7.875016905776802e-05,-5.250066414400624e-05,-2.625100884338083e-05,-1.2031503479084958e-09,2.624875293509253e-05,5.2498859418484374e-05,7.874911629982763e-05
0.080040020010005,9.192519770508177,9.192547770980044,9.192575771280788,9.192603771410411,9.192631771368916,9.192659771156308,9.192687770772586,9.192715770217754,9.192743769491821,-8.400021775700346e-05,-5.600077258731615e-05,-2.800115630770753e-05,-1.368917068837091e-09,2.7998589587926266e-05,5.599871921060412e-05,8.399901995429105e-05
0.08504252126063032,9.192512770539938,9.19254252108107,9.192572271429018,9.192602021583786,9.192631771545377,9.192661521313797,9.19269127088905,9.192721020271135,9.19275076946006,-8.925027113639014e-05,-5.9500889050416114e-05,-2.9751313798712164e-05,-1.5453790607288527e-09,2.9748416211864518e-05,5.949857098071625e-05,8.924891892860324e-05
0.09004502251125564,9.1925057705717,9.192537271186776,9.192568771585268,9.192600271767187,9.192631771732534,9.192663271481315,9.192694771013533,9.192726270329192,9.1927577694283,-9.450032919481928e-05,-6.300101353441491e-05,-3.150148131639473e-05,-1.7325352148059492e-09,3.149823281023362e-05,6.299841472992954e-05,9.449881322387297e-05
0.09504752376188094,9.19249877060346,9.192532021297158,9.19256527174954,9.192598521960615,9.192631771930387,9.192665021658858,9.192698271146037,9.192731520391929,9.192764769396538,-9.975039193118207e-05,-6.650114603931257e-05,-3.3251658859646444e-05,-1.930387748624044e-09,3.324803938303356e-05,6.649825045713523e-05,9.974870284120904e-05
0.10005002501250626,9.192491770635222,9.192526771412222,9.192561771921834,9.19259677216407,9.192631772138933,9.192666771846428,9.192701771286563,9.192736770459344,9.192771769364777,-0.00010500045934547856,-7.000128656510903e-05,-3.5001846429576086e-05,-2.1389333358496417e-09,3.49978359280468e-05,6.999807816344208e-05,0.0001049985877783939
0.10505252626313158,9.192484770666983,9.192521521531962,9.19255827210215,9.192595022377551,9.192631772358173,9.192668522044023,9.192705271435111,9.192742020531437,9.192778769333016,-0.00011025053143881747,-7.350143511069555e-05,-3.675204402507489e-05,-2.358174194038406e-09,3.674762244749088e-05,7.34978978488501e-05,0.00011024846803653629
0.11005502751375687,9.192477770698744,9.192516271656384,9.192554772290485,9.192593272601059,9.192631772588108,9.192670272251647,9.192708771591677,9.192747270608212,9.192785769301256,-0.00011550060821230761,-7.700159167718091e-05,-3.850225164725161e-05,-2.588109214412505e-09,3.849739894025704e-05,7.69977095133593e-05,0.00011549834361452745
0.11505752876438219,9.192470770730505,9.192511021785485,9.192551272486844,9.192591522834594,9.192631772828737,9.192672022469294,9.192712271756264,9.19275252068966,9.192792769269495,-0.00012075068966262267,-8.050175626567387e-05,-4.025246929388872e-05,-2.8287395057497702e-09,4.024716540634526e-05,8.049751315475209e-05,0.00012074821451458495
0.12006003001500751,9.192463770762267,9.192505771919263,9.192547772691222,9.192589773078154,9.192631773080063,9.192673772696967,9.19271577192887,9.192757770775792,9.192799769237734,-0.00012600077579198016,-8.400192887284812e-05,-4.200269696720376e-05,-3.0800639592723702e-09,4.1996921845755556e-05,8.399730877635483e-05,0.00012599808073449122
0.12506253126563283,9.192456770794028,9.192500522057724,9.192544272903623,9.192588023331739,9.192631773342082,9.192675522934666,9.192719272109501,9.192763020866598,9.192806769205973,-0.0001312508665992713,-8.75021095009212e-05,-4.3752934667196725e-05,-3.3420836837581375e-09,4.374666825959669e-05,8.749709637484118e-05,0.00013124794227535505
0.13006503251625814,9.192449770825789,9.192495272200864,9.192540773124044,9.192586273595353,9.192631773614796,9.192677273182392,9.192722772298149,9.192768270962084,9.192813769174212,-0.00013650096208560493,-9.100229814989311e-05,-4.550318239275884e-05,-3.6147975704292386e-09,4.54964046467599e-05,9.09968759524287e-05,0.00013649779913717643
0.13506753376688344,9.19244277085755,9.19249002234868,9.192537273352487,9.192584523868994,9.192631773898205,9.192679023440142,9.19272627249482,9.19277352106225,9.19282076914245,-0.000141751062250981,-9.450249481976387e-05,-4.725344014389011e-05,-3.898206728063507e-09,4.72461310061364e-05,9.449664750911738e-05,0.00014174765131884655
0.14007003501750875,9.192435770889311,9.192484772501176,9.192533773588954,9.192582774152658,9.192631774192309,9.19268077370792,9.192729772699508,9.192778771167093,9.192827769110687,-0.00014700116709318197,-9.800269951053346e-05,-4.900370792059054e-05,-4.192308939105277e-09,4.899584733994374e-05,9.799641104490723e-05,0.00014699749882147425
0.14507253626813407,9.192428770921072,9.192479522658354,9.192530273833441,9.192581024446351,9.192631774497107,9.192682523985724,9.19273327291222,9.192784021276614,9.192834769078926,-0.0001522512766155341,-0.00010150291222109307,-5.0753985723968894e-05,-4.497107529888047e-09,5.074555364707316e-05,0.00010149616655868948,0.00015224734164616827
0.15007503751875936,9.192421770952832,9.19247427282021,9.192526774085948,9.192579274750072,9.192631774812599,9.192684274273551,9.19273677313295,9.192789271390813,9.192841769047165,-0.00015750139081581997,-0.00010500313295144278,-5.250427355291641e-05,-4.812600282856151e-09,5.249524992641587e-05,0.0001049959140504641,0.0001574971797896023
0.1550775387693847,9.192414770984595,9.192469022986744,9.192523274346478,9.192577525063818,9.192631775138786,9.192686024571408,9.192740273361702,9.192794521509693,9.192848769015404,-0.0001627515096940395,-0.00010850336170269129,-5.425457140854185e-05,-5.13878719800959e-09,5.424493618018942e-05,0.00010849565352023112,0.00016274701325510264
0.16008004002001,9.192407771016354,9.192463773157959,9.19251977461503,9.19257577538759,9.19263177547567,9.192687774879287,9.192743773598473,9.192799771633249,9.192855768983645,-0.00016800163325130147,-0.00011200359847483865,-5.6004879288627655e-05,-5.475669384126196e-09,5.5994612408393826e-05,0.00011199538496909931,0.00016799684204045178
0.16508254127063532,9.192400771048115,9.192458523333853,9.192516274891602,9.19257402572139,9.192631775823244,9.192689525197196,9.192747273843265,9.192805021761485,9.192862768951883,-0.0001732517614876059,-0.00011550384326677608,-5.77551971953914e-05,-5.823245732428136e-09,5.774427860881152e-05,0.00011549510839706866,0.00017324666614564966
0.17008504252126064,9.192393771079876,9.192453273514426,9.192512775176198,9.192572276065215,9.192631776181516,9.192691275525128,9.192750774096076,9.1928102718944,9.19286976892012,-0.00017850189440073521,-0.00011900409607850354,-5.950552512883308e-05,-6.181517351693242e-09,5.949393478255128e-05,0.0001189948238030304,0.00017849648557291387
0.17508754377188596,9.192386771111638,9.19244802369968,9.192509275468812,9.19257052641907,9.192631776550483,9.192693025863084,9.192754274356911,9.192815522031992,9.192876768888361,-0.00018375203199290697,-0.00012250435691223862,-6.125586308673513e-05,-6.550484241921515e-09,6.124358092961311e-05,0.00012249453118587576,0.0001837463003189181
0.18009004502251127,9.192379771143399,9.192442773889612,9.19250577576945,9.192568776782949,9.192631776930144,9.192694776211068,9.192757774625765,9.192820772174263,9.192883768856598,-0.00018900217426301243,-0.00012600462576576376,-6.300621107131512e-05,-6.930144185557292e-09,6.299321705110579e-05,0.00012599423054893103,0.00018899611038698864
0.18509254627313657,9.19237277117516,9.192437524084223,9.192502276078107,9.192567027156855,9.192631777320498,9.19269652656908,9.192761274902637,9.192826022321213,9.192890768824837,-0.00019425232121326907,-0.00012950490263907897,-6.475656908146425e-05,-7.3204994001562345e-09,6.474284314370298e-05,0.00012949392188997872,0.00019424591577490798
